text,id,label
" 26. (1) The debenture trustee shall be vested with the requisite powers for protecting the interest of holders of municipal debt securities:
 Provided that, where the issuer is a body corporate to which the Companies Act, 2013 applies such powers shall include a right to appoint a nominee director on the Board of the issuer, in consultation with institutional holders of such securities.
                 ",2464,"[{""end"": 30, ""labels"": [""Subject-Organisation""], ""start"": 13, ""text"": ""debenture trustee""}, {""end"": 46, ""labels"": [""Objective""], ""start"": 31, ""text"": ""shall be vested""}, {""end"": 100, ""labels"": [""Transaction""], ""start"": 77, ""text"": ""protecting the interest""}, {""end"": 140, ""labels"": [""Subject-Individual""], ""start"": 104, ""text"": ""holders of municipal debt securities""}, {""end"": 140, ""labels"": [""Legal Term""], ""start"": 115, ""text"": ""municipal debt securities""}, {""end"": 174, ""labels"": [""Subject-Organisation""], ""start"": 168, ""text"": ""issuer""}, {""end"": 194, ""labels"": [""Subject-Organisation""], ""start"": 180, ""text"": ""body corporate""}, {""end"": 227, ""labels"": [""Legal Doc""], ""start"": 208, ""text"": ""Companies Act, 2013""}, {""end"": 261, ""labels"": [""Objective""], ""start"": 248, ""text"": ""shall include""}, {""end"": 299, ""labels"": [""Subject-Individual""], ""start"": 283, ""text"": ""nominee director""}, {""end"": 326, ""labels"": [""Subject-Organisation""], ""start"": 307, ""text"": ""Board of the issuer""}, {""end"": 389, ""labels"": [""Legal Term""], ""start"": 379, ""text"": ""securities""}, {""end"": 370, ""labels"": [""Subject-Organisation""], ""start"": 349, ""text"": ""institutional holders""}]"
" 11A. (1) Issuers shall be allowed to retain the over-subscription money up to 100% of the Base Issue size but not exceeding the rated size or any lower limit as specified in the offer document, if any.
                 ",2389,"[{""end"": 17, ""labels"": [""Subject-Organisation""], ""start"": 10, ""text"": ""Issuers""}, {""end"": 44, ""labels"": [""Objective""], ""start"": 18, ""text"": ""shall be allowed to retain""}, {""end"": 72, ""labels"": [""Object-General""], ""start"": 49, ""text"": ""over-subscription money""}, {""end"": 83, ""labels"": [""Value""], ""start"": 79, ""text"": ""100%""}, {""end"": 106, ""labels"": [""Object-General""], ""start"": 91, ""text"": ""Base Issue size""}, {""end"": 72, ""labels"": [""Transaction""], ""start"": 38, ""text"": ""retain the over-subscription money""}, {""end"": 158, ""labels"": [""Transaction""], ""start"": 111, ""text"": ""not exceeding the rated size or any lower limit""}, {""end"": 193, ""labels"": [""Legal Term""], ""start"": 179, ""text"": ""offer document""}]"
" (5)The lead merchant banker shall ensure that all comments received on the draft offer document are suitably addressed:
 Provided that where the issuer is a corporate municipal entity, the lead merchant banker shall ensure that all comments received on the draft offer document are suitably addressed prior to the filing of the final offer document with the Registrar of Companies.
                 ",2366,"[{""end"": 28, ""labels"": [""Subject-Organisation""], ""start"": 8, ""text"": ""lead merchant banker""}, {""end"": 68, ""labels"": [""Object-General""], ""start"": 51, ""text"": ""comments received""}, {""end"": 96, ""labels"": [""Legal Term""], ""start"": 76, ""text"": ""draft offer document""}, {""end"": 152, ""labels"": [""Subject-Organisation""], ""start"": 146, ""text"": ""issuer""}, {""end"": 184, ""labels"": [""Subject-Organisation""], ""start"": 158, ""text"": ""corporate municipal entity""}, {""end"": 210, ""labels"": [""Subject-Organisation""], ""start"": 190, ""text"": ""lead merchant banker""}, {""end"": 250, ""labels"": [""Object-General""], ""start"": 233, ""text"": ""comments received""}, {""end"": 278, ""labels"": [""Legal Term""], ""start"": 258, ""text"": ""draft offer document""}, {""end"": 321, ""labels"": [""Objective""], ""start"": 315, ""text"": ""filing""}, {""end"": 349, ""labels"": [""Legal Term""], ""start"": 329, ""text"": ""final offer document""}, {""end"": 381, ""labels"": [""Authority""], ""start"": 359, ""text"": ""Registrar of Companies""}, {""end"": 120, ""labels"": [""Objective""], ""start"": 51, ""text"": ""comments received on the draft offer document are suitably addressed:""}]"
" (9)Where the issuer is a corporate municipal entity, the information memorandum shall contain the disclosures specified in Companies Act, 2013 and rules made thereunder and shall include disclosures regarding summary term sheet, material updations including revision in ratings, if any, along with the rating rationale and financial ratios specified in Schedule I.
                 ",2370,"[{""end"": 20, ""labels"": [""Subject-Organisation""], ""start"": 13, ""text"": "" issuer""}, {""end"": 52, ""labels"": [""Subject-Organisation""], ""start"": 26, ""text"": ""corporate municipal entity""}, {""end"": 80, ""labels"": [""Legal Term""], ""start"": 58, ""text"": ""information memorandum""}, {""end"": 110, ""labels"": [""Object-General""], ""start"": 99, ""text"": ""disclosures""}, {""end"": 143, ""labels"": [""Legal Doc""], ""start"": 124, ""text"": ""Companies Act, 2013""}, {""end"": 153, ""labels"": [""Legal Doc""], ""start"": 148, ""text"": ""rules""}, {""end"": 199, ""labels"": [""Object-General""], ""start"": 188, ""text"": ""disclosures""}, {""end"": 228, ""labels"": [""Legal Term""], ""start"": 210, ""text"": ""summary term sheet""}, {""end"": 248, ""labels"": [""Transaction""], ""start"": 230, ""text"": ""material updations""}, {""end"": 278, ""labels"": [""Transaction""], ""start"": 259, ""text"": ""revision in ratings""}, {""end"": 309, ""labels"": [""Legal Term""], ""start"": 303, ""text"": ""rating""}, {""end"": 340, ""labels"": [""Legal Term""], ""start"": 324, ""text"": ""financial ratios""}, {""end"": 364, ""labels"": [""Legal Doc""], ""start"": 354, ""text"": ""Schedule I""}, {""end"": 110, ""labels"": [""Objective""], ""start"": 81, ""text"": ""shall contain the disclosures""}, {""end"": 319, ""labels"": [""Legal Term""], ""start"": 310, ""text"": ""rationale""}]"
" 35[Provided that the provisions of the Companies Act, 2013 shall apply to the Angel Fund, if it is formed as a company.]
                 ",2720,"[{""end"": 71, ""labels"": [""Objective""], ""start"": 60, ""text"": ""shall apply""}, {""end"": 89, ""labels"": [""Legal Term""], ""start"": 79, ""text"": ""Angel Fund""}, {""end"": 119, ""labels"": [""Subject-Organisation""], ""start"": 112, ""text"": ""company""}, {""end"": 59, ""labels"": [""Legal Doc""], ""start"": 40, ""text"": ""Companies Act, 2013""}]"
" (5)An application that is not complete in all respects or does not conform to the requirements of these regulations shall be returned to the applicant.
                 ",4420,"[{""end"": 18, ""labels"": [""Object-General""], ""start"": 7, ""text"": ""application""}, {""end"": 116, ""labels"": [""Legal Doc""], ""start"": 105, ""text"": ""regulations""}, {""end"": 151, ""labels"": [""Objective""], ""start"": 123, ""text"": ""be returned to the applicant""}, {""end"": 151, ""labels"": [""Subject-Individual""], ""start"": 142, ""text"": ""applicant""}]"
" 65.The provisions of this chapter shall apply to listed entity whose securities market regulators are signatories to the Multilateral Memorandum of Understanding of International Organization of Securities Commission issuing ‘Indian Depository Receipts’ as defined under Rule 13 of the Companies (Registration of Foreign Companies) Rules, 2014.
                 ",4070,"[{""end"": 63, ""labels"": [""Legal Term""], ""start"": 50, ""text"": ""listed entity""}, {""end"": 98, ""labels"": [""Subject-Organisation""], ""start"": 70, ""text"": ""securities market regulators""}, {""end"": 344, ""labels"": [""Legal Doc""], ""start"": 272, ""text"": ""Rule 13 of the Companies (Registration of Foreign Companies) Rules, 2014""}, {""end"": 253, ""labels"": [""Legal Doc""], ""start"": 122, ""text"": ""Multilateral Memorandum of Understanding of International Organization of Securities Commission issuing \u2018Indian Depository Receipts""}]"
" 3.These regulations shall be applicable to buy-back of shares or other specified securities of a company in accordance with the applicable provisions of the Companies Act.
 Page 4 of 41
                 ",2777,"[{""end"": 40, ""labels"": [""Objective""], ""start"": 21, ""text"": ""shall be applicable""}, {""end"": 52, ""labels"": [""Legal Term""], ""start"": 44, ""text"": ""buy-back""}, {""end"": 62, ""labels"": [""Legal Term""], ""start"": 56, ""text"": ""shares""}, {""end"": 92, ""labels"": [""Legal Term""], ""start"": 82, ""text"": ""securities""}, {""end"": 105, ""labels"": [""Subject-Organisation""], ""start"": 97, ""text"": "" company""}, {""end"": 171, ""labels"": [""Legal Doc""], ""start"": 158, ""text"": ""Companies Act""}]"
" (4)The revenue bonds shall have a maximum tenure of thirty years or such period as specified by the Board from time to time.
                 ",2350,"[{""end"": 21, ""labels"": [""Legal Term""], ""start"": 8, ""text"": ""revenue bonds""}, {""end"": 65, ""labels"": [""Date/Time""], ""start"": 35, ""text"": ""maximum tenure of thirty years""}, {""end"": 106, ""labels"": [""Authority""], ""start"": 101, ""text"": ""Board""}, {""end"": 49, ""labels"": [""Objective""], ""start"": 22, ""text"": ""shall have a maximum tenure""}]"
" 26.(1) A director shall not be a member in more than ten committees or act as chairperson of more than five committees across all listed entities in which he is a director which shall be determined as follows:
(a)the limit of the committees on which a director may serve in all public limited companies, whether listed or not, shall be included and all other companies including private limited companies, foreign companies and companies under Section 8 of the Companies Act, 2013 shall be excluded;
60Inserted ibid w.e.f. 1.4.2019 or the date specified in the provisions.
61Substituted by SEBI (Listing Obligations and Disclosure Requirements) (Third Amendment) Regulations, 2016, w.e.f. 04.01.2017. Prior to substitution, the title read as follows-
“Obligations with respect to directors and senior management”
27
(b)for the purpose of determination of limit, chairpersonship and membership of the audit committee and the Stakeholders' Relationship Committee alone shall be considered.
                 ",3900,"[{""end"": 18, ""labels"": [""Subject-Individual""], ""start"": 10, ""text"": ""director""}, {""end"": 31, ""labels"": [""Objective""], ""start"": 19, ""text"": ""shall not be""}, {""end"": 40, ""labels"": [""Subject-Individual""], ""start"": 34, ""text"": ""member""}, {""end"": 90, ""labels"": [""Subject-Individual""], ""start"": 79, ""text"": ""chairperson""}, {""end"": 108, ""labels"": [""Value""], ""start"": 94, ""text"": ""more than five""}, {""end"": 119, ""labels"": [""Subject-Organisation""], ""start"": 109, ""text"": ""committees""}, {""end"": 146, ""labels"": [""Subject-Organisation""], ""start"": 131, ""text"": ""listed entities""}, {""end"": 172, ""labels"": [""Subject-Individual""], ""start"": 164, ""text"": ""director""}, {""end"": 68, ""labels"": [""Subject-Organisation""], ""start"": 58, ""text"": ""committees""}, {""end"": 57, ""labels"": [""Value""], ""start"": 43, ""text"": "" more than ten""}, {""end"": 241, ""labels"": [""Subject-Organisation""], ""start"": 231, ""text"": ""committees""}, {""end"": 261, ""labels"": [""Subject-Individual""], ""start"": 253, ""text"": ""director""}, {""end"": 303, ""labels"": [""Subject-Organisation""], ""start"": 279, ""text"": ""public limited companies""}, {""end"": 319, ""labels"": [""Legal Term""], ""start"": 313, ""text"": ""listed""}, {""end"": 369, ""labels"": [""Subject-Organisation""], ""start"": 360, ""text"": ""companies""}, {""end"": 405, ""labels"": [""Subject-Organisation""], ""start"": 380, ""text"": ""private limited companies""}, {""end"": 424, ""labels"": [""Subject-Organisation""], ""start"": 407, ""text"": ""foreign companies""}, {""end"": 481, ""labels"": [""Subject-Organisation""], ""start"": 429, ""text"": ""companies under Section 8 of the Companies Act, 2013""}, {""end"": 481, ""labels"": [""Legal Doc""], ""start"": 445, ""text"": ""Section 8 of the Companies Act, 2013""}, {""end"": 499, ""labels"": [""Objective""], ""start"": 482, ""text"": ""shall be excluded""}, {""end"": 345, ""labels"": [""Objective""], ""start"": 328, ""text"": ""shall be included""}]"
